
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,23,MIN,NBA,SG,79,63,2069,271,682,.397,103,289,.356,168,393,.427,.473,64,92,.696,51,189,240,148,58,54,95,163,709
2011-12,24,MIN,NBA,SF,65,64,1469,158,397,.398,53,169,.314,105,228,.461,.465,24,34,.706,24,153,177,59,35,48,60,115,393
2012-13,25,PHO,NBA,SF,50,21,953,161,396,.407,50,155,.323,111,241,.461,.470,27,35,.771,21,102,123,34,22,18,48,56,399
2013-14,26,LAL,NBA,SF,79,62,2240,277,651,.425,100,271,.369,177,380,.466,.502,61,77,.792,70,278,348,124,86,77,90,207,715
2014-15,27,LAL,NBA,SF,22,22,684,70,171,.409,22,70,.314,48,101,.475,.474,23,26,.885,18,59,77,29,17,18,11,49,185
Career,,,NBA,,295,232,7415,937,2297,.408,328,954,.344,609,1343,.453,.479,199,264,.754,184,781,965,394,218,215,304,590,2401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,144,127,3538,429,1079,.398,156,458,.341,273,621,.440,.470,88,126,.698,75,342,417,207,93,102,155,278,1102
2 seasons,,LAL,NBA,,101,84,2924,347,822,.422,122,341,.358,225,481,.468,.496,84,103,.816,88,337,425,153,103,95,101,256,900
1 season,,PHO,NBA,,50,21,953,161,396,.407,50,155,.323,111,241,.461,.470,27,35,.771,21,102,123,34,22,18,48,56,399
