
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,GSW,NBA,PG,29,0,285,28,72,.389,1,5,.200,27,67,.403,.396,19,25,.760,12,22,34,42,33,9,18,31,76
2011-12,23,NYK,NBA,PG,35,25,940,171,383,.446,24,75,.320,147,308,.477,.478,146,183,.798,18,89,107,216,55,9,126,78,512
2012-13,24,HOU,NBA,PG,82,82,2640,396,897,.441,87,257,.339,309,640,.483,.490,216,275,.785,32,215,247,497,134,29,236,205,1095
2013-14,25,HOU,NBA,PG,71,33,2054,295,662,.446,82,229,.358,213,433,.492,.508,218,265,.823,34,153,187,294,68,27,176,166,890
2014-15,26,LAL,NBA,PG,22,20,635,82,187,.439,22,67,.328,60,120,.500,.497,58,71,.817,11,48,59,106,21,7,55,68,244
Career,,,NBA,,239,160,6554,972,2201,.442,216,633,.341,756,1568,.482,.491,657,819,.802,107,527,634,1155,311,81,611,548,2817
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,HOU,NBA,,153,115,4694,691,1559,.443,169,486,.348,522,1073,.486,.497,434,540,.804,66,368,434,791,202,56,412,371,1985
1 season,,NYK,NBA,,35,25,940,171,383,.446,24,75,.320,147,308,.477,.478,146,183,.798,18,89,107,216,55,9,126,78,512
1 season,,GSW,NBA,,29,0,285,28,72,.389,1,5,.200,27,67,.403,.396,19,25,.760,12,22,34,42,33,9,18,31,76
1 season,,LAL,NBA,,22,20,635,82,187,.439,22,67,.328,60,120,.500,.497,58,71,.817,11,48,59,106,21,7,55,68,244
