
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,WAS,NBA,SG,75,2,1158,210,478,.439,40,100,.400,170,378,.450,.481,101,124,.815,23,92,115,63,35,7,94,130,561
2008-09,23,WAS,NBA,SG,82,5,1837,336,756,.444,56,164,.341,280,592,.473,.481,164,193,.850,31,119,150,95,39,20,92,140,892
2009-10,24,WAS,NBA,SG,74,23,1421,233,558,.418,69,170,.406,164,388,.423,.479,104,130,.800,20,82,102,48,28,8,56,147,639
2010-11,25,WAS,NBA,SG,64,40,2034,412,935,.441,105,271,.387,307,664,.462,.497,186,228,.816,26,148,174,75,45,17,90,144,1115
2011-12,26,TOT,NBA,SG,62,35,1729,316,784,.403,103,282,.365,213,502,.424,.469,144,169,.852,31,102,133,56,44,17,83,141,879
2011-12,26,WAS,NBA,SG,40,32,1211,240,591,.406,73,197,.371,167,394,.424,.468,112,130,.862,20,77,97,46,30,11,59,90,665
2011-12,26,LAC,NBA,SG,22,3,518,76,193,.394,30,85,.353,46,108,.426,.472,32,39,.821,11,25,36,10,14,6,24,51,214
2012-13,27,PHI,NBA,SG,59,17,1411,224,542,.413,75,210,.357,149,332,.449,.482,105,128,.820,24,106,130,84,36,14,50,84,628
2013-14,28,LAL,NBA,SG,64,9,1810,387,889,.435,135,350,.386,252,539,.468,.511,235,285,.825,29,137,166,95,46,12,95,156,1144
2014-15,29,LAL,NBA,SG,12,0,302,57,148,.385,26,64,.406,31,84,.369,.473,35,42,.833,3,27,30,8,5,7,9,27,175
Career,,,NBA,,492,131,11702,2175,5090,.427,609,1611,.378,1566,3479,.450,.487,1074,1299,.827,187,813,1000,524,278,102,569,969,6033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,WAS,NBA,,335,102,7661,1431,3318,.431,343,902,.380,1088,2416,.450,.483,667,805,.829,120,518,638,327,177,63,391,651,3872
2 seasons,,LAL,NBA,,76,9,2112,444,1037,.428,161,414,.389,283,623,.454,.506,270,327,.826,32,164,196,103,51,19,104,183,1319
1 season,,PHI,NBA,,59,17,1411,224,542,.413,75,210,.357,149,332,.449,.482,105,128,.820,24,106,130,84,36,14,50,84,628
1 season,,LAC,NBA,,22,3,518,76,193,.394,30,85,.353,46,108,.426,.472,32,39,.821,11,25,36,10,14,6,24,51,214
