
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,23,BOS,NBA,SG,77,34,1262,184,387,.475,12,31,.387,172,356,.483,.491,112,152,.737,85,136,221,64,76,24,77,156,492
2005-06,24,BOS,NBA,PG,51,9,978,129,274,.471,11,34,.324,118,240,.492,.491,100,134,.746,32,79,111,67,51,18,67,126,369
2006-07,25,BOS,NBA,SG,33,18,805,133,259,.514,8,33,.242,125,226,.553,.529,105,134,.784,35,89,124,56,49,12,75,87,379
2007-08,26,BOS,NBA,SG,75,11,1373,169,389,.434,18,57,.316,151,332,.455,.458,138,181,.762,34,134,168,114,62,21,109,168,494
2008-09,27,BOS,NBA,SG,46,2,887,137,284,.482,6,27,.222,131,257,.510,.493,79,109,.725,22,82,104,66,54,23,77,98,359
2009-10,28,BOS,NBA,SG,54,8,889,129,253,.510,0,5,.000,129,248,.520,.510,72,119,.605,52,93,145,72,59,19,66,109,330
2010-11,29,MEM,NBA,SG,72,31,1494,251,492,.510,4,23,.174,247,469,.527,.514,137,182,.753,70,123,193,104,129,44,86,161,643
2011-12,30,MEM,NBA,SG,58,57,1525,210,448,.469,8,26,.308,202,422,.479,.478,140,175,.800,98,135,233,79,104,33,94,142,568
2012-13,31,MEM,NBA,SG,79,79,2109,284,638,.445,3,24,.125,281,614,.458,.447,134,187,.717,121,242,363,98,119,44,94,211,705
2013-14,32,MEM,NBA,SG,55,28,1278,204,413,.494,11,47,.234,193,366,.527,.507,76,121,.628,79,129,208,94,90,19,90,121,495
2014-15,33,MEM,NBA,SG,19,19,482,65,128,.508,2,9,.222,63,119,.529,.516,25,39,.641,27,47,74,32,39,7,23,66,157
Career,,,NBA,,619,296,13082,1895,3965,.478,83,316,.263,1812,3649,.497,.488,1118,1533,.729,655,1289,1944,846,832,264,858,1445,4991
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,BOS,NBA,,336,82,6194,881,1846,.477,55,187,.294,826,1659,.498,.492,606,829,.731,260,613,873,439,351,117,471,744,2423
5 seasons,,MEM,NBA,,283,214,6888,1014,2119,.479,28,129,.217,986,1990,.495,.485,512,704,.727,395,676,1071,407,481,147,387,701,2568
