
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,SAS,NBA,PG,80,2,1149,173,390,.444,58,142,.408,115,248,.464,.518,67,89,.753,16,67,83,150,41,10,77,96,471
2005-06,23,SAS,NBA,PG,54,3,586,106,233,.455,24,70,.343,82,163,.503,.506,39,50,.780,18,34,52,92,14,2,53,55,275
2006-07,24,SAS,NBA,PG,73,1,948,127,344,.369,33,115,.287,94,229,.410,.417,53,60,.883,11,71,82,122,27,1,56,70,340
2007-08,25,SAC,NBA,PG,65,51,2080,328,708,.463,53,137,.387,275,571,.482,.501,125,147,.850,34,183,217,282,56,10,148,138,834
2008-09,26,SAC,NBA,PG,73,72,2270,321,696,.461,35,113,.310,286,583,.491,.486,123,150,.820,46,174,220,342,81,12,158,192,800
2009-10,27,SAC,NBA,PG,79,41,2477,415,841,.493,75,199,.377,340,642,.530,.538,118,141,.837,38,181,219,372,89,10,136,166,1023
2010-11,28,SAC,NBA,PG,79,64,2734,412,824,.500,65,182,.357,347,642,.540,.539,197,228,.864,41,224,265,386,94,9,141,181,1086
2011-12,29,MIL,NBA,SG,59,0,1080,146,332,.440,17,59,.288,129,273,.473,.465,39,55,.709,26,76,102,227,37,1,77,69,348
2012-13,30,TOT,NBA,SG-PG,66,9,1457,210,476,.441,34,102,.333,176,374,.471,.477,84,103,.816,34,107,141,302,41,3,108,90,538
2012-13,30,MIL,NBA,SG,39,0,719,113,238,.475,13,49,.265,100,189,.529,.502,24,33,.727,17,61,78,138,16,2,53,39,263
2012-13,30,ORL,NBA,PG,27,9,738,97,238,.408,21,53,.396,76,185,.411,.452,60,70,.857,17,46,63,164,25,1,55,51,275
2013-14,31,TOT,NBA,SG,41,12,643,78,178,.438,19,42,.452,59,136,.434,.492,25,30,.833,10,49,59,116,23,4,47,50,200
2013-14,31,NYK,NBA,SG,31,12,588,68,160,.425,17,40,.425,51,120,.425,.478,20,24,.833,10,47,57,110,22,3,42,46,173
2013-14,31,MEM,NBA,SG,10,0,55,10,18,.556,2,2,1.000,8,16,.500,.611,5,6,.833,0,2,2,6,1,1,5,4,27
2014-15,32,MEM,NBA,PG,20,0,357,63,119,.529,5,25,.200,58,94,.617,.550,17,21,.810,2,29,31,62,8,1,26,25,148
Career,,,NBA,,689,255,15781,2379,5141,.463,418,1186,.352,1961,3955,.496,.503,887,1074,.826,276,1195,1471,2453,511,63,1027,1132,6063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,296,228,9561,1476,3069,.481,228,631,.361,1248,2438,.512,.518,563,666,.845,159,762,921,1382,320,41,583,677,3743
3 seasons,,SAS,NBA,,207,6,2683,406,967,.420,115,327,.352,291,640,.455,.479,159,199,.799,45,172,217,364,82,13,186,221,1086
2 seasons,,MIL,NBA,,98,0,1799,259,570,.454,30,108,.278,229,462,.496,.481,63,88,.716,43,137,180,365,53,3,130,108,611
1 season,,NYK,NBA,,31,12,588,68,160,.425,17,40,.425,51,120,.425,.478,20,24,.833,10,47,57,110,22,3,42,46,173
2 seasons,,MEM,NBA,,30,0,412,73,137,.533,7,27,.259,66,110,.600,.558,22,27,.815,2,31,33,68,9,2,31,29,175
1 season,,ORL,NBA,,27,9,738,97,238,.408,21,53,.396,76,185,.411,.452,60,70,.857,17,46,63,164,25,1,55,51,275
