
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,MEM,NBA,SG,82,82,3120,562,1283,.438,145,378,.384,417,905,.461,.495,247,281,.879,56,252,308,262,91,13,226,204,1516
2009-10,22,MEM,NBA,SG,82,82,3113,542,1183,.458,136,355,.383,406,828,.490,.516,212,262,.809,61,250,311,242,98,17,176,174,1432
2010-11,23,MEM,NBA,SG,71,17,1869,304,747,.407,96,264,.364,208,483,.431,.471,99,131,.756,35,135,170,145,73,26,99,127,803
2011-12,24,MEM,NBA,SG,66,0,1771,300,736,.408,100,275,.364,200,461,.434,.476,133,172,.773,30,180,210,169,71,23,124,137,833
2012-13,25,DAL,NBA,SG,82,82,2913,461,1026,.449,142,349,.407,319,677,.471,.519,191,233,.820,36,255,291,361,93,23,210,195,1255
2013-14,26,MIL,NBA,SG,52,23,1346,224,550,.407,84,227,.370,140,323,.433,.484,76,88,.864,24,100,124,113,28,13,95,111,608
2014-15,27,MIL,NBA,SG,23,9,560,90,228,.395,27,94,.287,63,134,.470,.454,47,56,.839,13,41,54,72,17,6,36,61,254
Career,,,NBA,,458,295,14692,2483,5753,.432,730,1942,.376,1753,3811,.460,.495,1005,1223,.822,255,1213,1468,1364,471,121,966,1009,6701
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,301,181,9873,1708,3949,.433,477,1272,.375,1231,2677,.460,.493,691,846,.817,182,817,999,818,333,79,625,642,4584
1 season,,DAL,NBA,,82,82,2913,461,1026,.449,142,349,.407,319,677,.471,.519,191,233,.820,36,255,291,361,93,23,210,195,1255
2 seasons,,MIL,NBA,,75,32,1906,314,778,.404,111,321,.346,203,457,.444,.475,123,144,.854,37,141,178,185,45,19,131,172,862
