Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,HOU,NBA,SF,74,4,1488,249,565,0.441,92,249,0.369,157,316,0.497,0.522,67,87,0.77,38,182,220,88,34,11,48,85,657
2010-11,22,HOU,NBA,SF,78,22,1738,279,656,0.425,89,274,0.325,190,382,0.497,0.493,118,138,0.855,52,229,281,127,41,18,67,114,765
2011-12,23,HOU,NBA,SF,58,9,1298,208,471,0.442,88,219,0.402,120,252,0.476,0.535,54,70,0.771,38,179,217,74,29,7,55,65,558
2012-13,24,MIN,NBA,SF,23,1,508,79,191,0.414,26,81,0.321,53,110,0.482,0.482,32,42,0.762,15,56,71,25,14,7,23,29,216
2013-14,25,MIN,NBA,SF,41,8,751,100,254,0.394,42,120,0.35,58,134,0.433,0.476,32,39,0.821,19,84,103,31,19,2,24,58,274
2014-15,26,MIN,NBA,SF,18,0,229,22,75,0.293,11,30,0.367,11,45,0.244,0.367,13,14,0.929,2,40,42,11,8,2,10,10,68
Career,,,NBA,,292,44,6012,937,2212,0.424,348,973,0.358,589,1239,0.475,0.502,316,390,0.81,164,770,934,356,145,47,227,361,2538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,210,35,4524,736,1692,0.435,269,742,0.363,467,950,0.492,0.514,239,295,0.81,128,590,718,289,104,36,170,264,1980
3 seasons,,MIN,NBA,,82,9,1488,201,520,0.387,79,231,0.342,122,289,0.422,0.463,77,95,0.811,36,180,216,67,41,11,57,97,558
