Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,21,UTA,NBA,SG,57,0,772,115,303,0.38,10,39,0.256,105,264,0.398,0.396,44,56,0.786,23,49,72,76,28,2,51,87,284
2004-05,22,MIL,NBA,PG,80,80,2254,323,737,0.438,32,99,0.323,291,638,0.456,0.46,136,160,0.85,50,194,244,484,74,11,196,221,814
2005-06,23,MIL,NBA,PG,58,12,1531,267,629,0.424,73,191,0.382,194,438,0.443,0.483,96,113,0.85,30,113,143,230,52,7,105,146,703
2006-07,24,MIL,NBA,PG,68,68,2472,468,1049,0.446,79,228,0.346,389,821,0.474,0.484,159,186,0.855,54,275,329,416,85,6,203,201,1174
2007-08,25,MIL,NBA,PG,66,66,2410,441,919,0.48,89,231,0.385,352,688,0.512,0.528,166,194,0.856,37,193,230,419,78,10,182,188,1137
2008-09 ★,26,CLE,NBA,PG,81,81,2834,526,1126,0.467,183,420,0.436,343,706,0.486,0.548,208,228,0.912,47,232,279,329,69,9,179,215,1443
2009-10,27,CLE,NBA,PG,69,68,2359,378,855,0.442,159,371,0.429,219,484,0.452,0.535,177,198,0.894,28,178,206,368,70,21,173,170,1092
2010-11,28,TOT,NBA,PG,58,56,1788,291,730,0.399,79,244,0.324,212,486,0.436,0.453,151,177,0.853,21,132,153,380,53,10,171,150,812
2010-11,28,CLE,NBA,PG,36,34,1065,178,462,0.385,36,136,0.265,142,326,0.436,0.424,85,102,0.833,15,82,97,257,33,10,105,91,477
2010-11,28,LAC,NBA,PG,22,22,723,113,268,0.422,43,108,0.398,70,160,0.438,0.502,66,75,0.88,6,50,56,123,20,0,66,59,335
2011-12,29,LAC,NBA,SG,52,1,1472,260,611,0.426,93,239,0.389,167,372,0.449,0.502,72,80,0.9,23,76,99,160,51,7,86,103,685
2012-13,30,UTA,NBA,PG,46,46,1418,229,533,0.43,59,154,0.383,170,379,0.449,0.485,75,85,0.882,24,86,110,285,46,9,125,105,592
2013-14,31,POR,NBA,PG,74,0,1834,280,672,0.417,83,225,0.369,197,447,0.441,0.478,78,89,0.876,42,111,153,321,55,10,149,197,721
2014-15,32,MIN,NBA,PG,16,7,429,61,156,0.391,18,53,0.34,43,103,0.417,0.449,29,35,0.829,6,28,34,107,12,4,40,45,169
Career,,,NBA,,725,485,21573,3639,8320,0.437,957,2494,0.384,2682,5826,0.46,0.495,1391,1601,0.869,385,1667,2052,3575,673,106,1660,1828,9626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,272,226,8667,1499,3334,0.45,273,749,0.364,1226,2585,0.474,0.491,557,653,0.853,171,775,946,1549,289,34,686,756,3828
3 seasons,,CLE,NBA,,186,183,6258,1082,2443,0.443,378,927,0.408,704,1516,0.464,0.52,470,528,0.89,90,492,582,954,172,40,457,476,3012
2 seasons,,UTA,NBA,,103,46,2190,344,836,0.411,69,193,0.358,275,643,0.428,0.453,119,141,0.844,47,135,182,361,74,11,176,192,876
2 seasons,,LAC,NBA,,74,23,2195,373,879,0.424,136,347,0.392,237,532,0.445,0.502,138,155,0.89,29,126,155,283,71,7,152,162,1020
1 season,,POR,NBA,,74,0,1834,280,672,0.417,83,225,0.369,197,447,0.441,0.478,78,89,0.876,42,111,153,321,55,10,149,197,721
1 season,,MIN,NBA,,16,7,429,61,156,0.391,18,53,0.34,43,103,0.417,0.449,29,35,0.829,6,28,34,107,12,4,40,45,169
