
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,SAC,NBA,PG,61,7,1135,172,446,.386,78,216,.361,94,230,.409,.473,40,48,.833,17,56,73,108,30,3,67,73,462
2012-13,23,SAC,NBA,SG,69,0,967,172,409,.421,65,156,.417,107,253,.423,.500,85,99,.859,19,52,71,92,31,3,68,64,494
2013-14,24,TOT,NBA,SG,49,0,519,107,227,.471,40,84,.476,67,143,.469,.559,19,21,.905,8,44,52,64,14,3,48,35,273
2013-14,24,SAC,NBA,SG,41,0,463,94,198,.475,36,73,.493,58,125,.464,.566,17,19,.895,7,38,45,61,14,3,44,28,241
2013-14,24,CHI,NBA,SG,8,0,56,13,29,.448,4,11,.364,9,18,.500,.517,2,2,1.000,1,6,7,3,0,0,4,7,32
2014-15,25,NOP,NBA,PG,12,0,113,8,32,.250,1,8,.125,7,24,.292,.266,3,3,1.000,0,4,4,10,4,0,3,11,20
Career,,,NBA,,191,7,2734,459,1114,.412,184,464,.397,275,650,.423,.495,147,171,.860,44,156,200,274,79,9,186,183,1249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAC,NBA,,171,7,2565,438,1053,.416,179,445,.402,259,608,.426,.501,142,166,.855,43,146,189,261,75,9,179,165,1197
1 season,,NOP,NBA,,12,0,113,8,32,.250,1,8,.125,7,24,.292,.266,3,3,1.000,0,4,4,10,4,0,3,11,20
1 season,,CHI,NBA,,8,0,56,13,29,.448,4,11,.364,9,18,.500,.517,2,2,1.000,1,6,7,3,0,0,4,7,32
