
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,19,PHI,NBA,PG,73,51,1767,230,520,.442,62,159,.390,168,361,.465,.502,65,86,.756,56,135,191,280,79,18,156,153,587
2010-11,20,PHI,NBA,PG,82,82,2901,446,999,.446,81,222,.365,365,777,.470,.487,172,209,.823,68,264,332,531,120,29,218,203,1145
2011-12,21,PHI,NBA,PG,65,65,2196,360,834,.432,65,171,.380,295,663,.445,.471,94,120,.783,57,155,212,290,103,18,135,137,879
2012-13 ★,22,PHI,NBA,PG,78,78,2926,555,1288,.431,91,247,.368,464,1041,.446,.466,182,242,.752,89,240,329,625,123,32,292,170,1383
2013-14,23,NOP,NBA,PG,34,34,1143,203,454,.447,30,77,.390,173,377,.459,.480,51,63,.810,28,114,142,268,56,12,105,92,487
2014-15,24,NOP,NBA,PG,21,21,711,131,291,.450,27,73,.370,104,218,.477,.497,43,48,.896,17,54,71,142,27,10,37,56,332
Career,,,NBA,,353,331,11644,1925,4386,.439,356,949,.375,1569,3437,.457,.479,607,768,.790,315,962,1277,2136,508,119,943,811,4813
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,298,276,9790,1591,3641,.437,299,799,.374,1292,2842,.455,.478,513,657,.781,270,794,1064,1726,425,97,801,663,3994
2 seasons,,NOP,NBA,,55,55,1854,334,745,.448,57,150,.380,277,595,.466,.487,94,111,.847,45,168,213,410,83,22,142,148,819
