
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,19,MIL,NBA,SF,42,9,479,79,169,.467,6,23,.261,73,146,.500,.485,44,54,.815,30,71,101,22,13,7,31,45,208
2012-13,20,TOT,NBA,SF-PF,55,34,1299,233,512,.455,34,108,.315,199,404,.493,.488,103,137,.752,73,214,287,69,32,44,66,120,603
2012-13,20,MIL,NBA,SF,28,14,325,53,115,.461,7,21,.333,46,94,.489,.491,23,26,.885,17,40,57,13,8,7,18,31,136
2012-13,20,ORL,NBA,PF,27,20,974,180,397,.453,27,87,.310,153,310,.494,.487,80,111,.721,56,174,230,56,24,37,48,89,467
2013-14,21,ORL,NBA,PF,61,36,1850,332,716,.464,32,126,.254,300,590,.508,.486,197,244,.807,88,336,424,82,41,24,78,143,893
2014-15,22,ORL,NBA,SF,22,22,778,154,320,.481,24,55,.436,130,265,.491,.519,79,97,.814,26,145,171,38,23,10,40,59,411
Career,,,NBA,,180,101,4406,798,1717,.465,96,312,.308,702,1405,.500,.493,423,532,.795,217,766,983,211,109,85,215,367,2115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,ORL,NBA,,110,78,3602,666,1433,.465,83,268,.310,583,1165,.500,.494,356,452,.788,170,655,825,176,88,71,166,291,1771
2 seasons,,MIL,NBA,,70,23,804,132,284,.465,13,44,.295,119,240,.496,.488,67,80,.838,47,111,158,35,21,14,49,76,344
