
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,HOU,NBA,PF,17,0,126,16,54,.296,2,17,.118,14,37,.378,.315,6,8,.750,5,11,16,3,2,2,4,12,40
2012-13,23,TOT,NBA,PF-SF,77,23,1524,222,526,.422,86,233,.369,136,293,.464,.504,66,117,.564,80,197,277,62,45,20,77,160,596
2012-13,23,HOU,NBA,PF,54,17,1154,171,400,.428,74,194,.381,97,206,.471,.520,49,75,.653,63,156,219,47,27,16,53,120,465
2012-13,23,PHO,NBA,SF,23,6,370,51,126,.405,12,39,.308,39,87,.448,.452,17,42,.405,17,41,58,15,18,4,24,40,131
2013-14,24,PHO,NBA,SF,82,1,1800,288,651,.442,99,260,.381,189,391,.483,.518,121,159,.761,84,235,319,88,72,18,95,157,796
2014-15,25,PHO,NBA,PF,23,18,575,88,202,.436,36,84,.429,52,118,.441,.525,19,29,.655,20,73,93,34,12,6,20,57,231
Career,,,NBA,,199,42,4025,614,1433,.428,223,594,.375,391,839,.466,.506,212,313,.677,189,516,705,187,131,46,196,386,1663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHO,NBA,,128,25,2745,427,979,.436,147,383,.384,280,596,.470,.511,157,230,.683,121,349,470,137,102,28,139,254,1158
2 seasons,,HOU,NBA,,71,17,1280,187,454,.412,76,211,.360,111,243,.457,.496,55,83,.663,68,167,235,50,29,18,57,132,505
