Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,PHO,NBA,C,60,7,614,71,137,0.518,0,1,0,71,136,0.522,0.518,47,68,0.691,52,66,118,8,11,41,28,97,189
2009-10,21,PHO,NBA,C,51,31,986,171,291,0.588,0,0,,171,291,0.588,0.588,88,125,0.704,104,144,248,7,10,53,41,117,430
2010-11,22,PHO,NBA,C,67,56,991,179,357,0.501,0,0,,179,357,0.501,0.501,74,100,0.74,82,134,216,8,18,45,48,143,432
2011-12,23,PHO,NBA,C,64,0,895,124,269,0.461,0,0,,124,269,0.461,0.461,100,140,0.714,90,119,209,20,18,60,43,128,348
2012-13,24,NOH,NBA,C,82,82,2136,384,719,0.534,0,0,,384,719,0.534,0.534,161,207,0.778,226,236,462,64,32,128,110,167,929
2013-14,25,POR,NBA,C,82,82,2603,355,644,0.551,0,1,0,355,643,0.552,0.551,198,242,0.818,326,374,700,73,25,139,84,196,908
2014-15,26,POR,NBA,C,22,22,618,94,181,0.519,0,0,,94,181,0.519,0.519,35,44,0.795,74,87,161,27,9,33,35,56,223
Career,,,NBA,,428,280,8843,1378,2598,0.53,0,2,0,1378,2596,0.531,0.53,703,926,0.759,954,1160,2114,207,123,499,389,904,3459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHO,NBA,,242,94,3486,545,1054,0.517,0,1,0,545,1053,0.518,0.517,309,433,0.714,328,463,791,43,57,199,160,485,1399
2 seasons,,POR,NBA,,104,104,3221,449,825,0.544,0,1,0,449,824,0.545,0.544,233,286,0.815,400,461,861,100,34,172,119,252,1131
1 season,,NOH,NBA,,82,82,2136,384,719,0.534,0,0,,384,719,0.534,0.534,161,207,0.778,226,236,462,64,32,128,110,167,929
