Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,21,TOT,NBA,PF,70,0,1056,138,321,0.43,0,1,0,138,320,0.431,0.43,57,109,0.523,122,193,315,46,41,26,88,124,333
2012-13,21,SAC,NBA,PF,51,0,809,103,243,0.424,0,0,,103,243,0.424,0.424,41,71,0.577,92,146,238,36,25,21,65,95,247
2012-13,21,HOU,NBA,PF,19,0,247,35,78,0.449,0,1,0,35,77,0.455,0.449,16,38,0.421,30,47,77,10,16,5,23,29,86
2013-14,22,POR,NBA,PF,70,0,873,141,293,0.481,0,1,0,141,292,0.483,0.481,57,101,0.564,105,202,307,34,23,20,57,131,339
2014-15,23,POR,NBA,PF,9,0,67,7,16,0.438,0,0,,7,16,0.438,0.438,4,10,0.4,8,19,27,0,3,1,5,13,18
Career,,,NBA,,149,0,1996,286,630,0.454,0,2,0,286,628,0.455,0.454,118,220,0.536,235,414,649,80,67,47,150,268,690
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,79,0,940,148,309,0.479,0,1,0,148,308,0.481,0.479,61,111,0.55,113,221,334,34,26,21,62,144,357
1 season,,SAC,NBA,,51,0,809,103,243,0.424,0,0,,103,243,0.424,0.424,41,71,0.577,92,146,238,36,25,21,65,95,247
1 season,,HOU,NBA,,19,0,247,35,78,0.449,0,1,0,35,77,0.455,0.449,16,38,0.421,30,47,77,10,16,5,23,29,86
