
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,MIL,NBA,PG,17,7,450,51,117,.436,3,7,.429,48,110,.436,.449,32,41,.780,8,50,58,127,17,3,36,26,137
2008-09,22,MIL,NBA,PG,79,39,2173,345,775,.445,6,34,.176,339,741,.457,.449,281,354,.794,64,205,269,452,83,7,152,158,977
2009-10,23,MIN,NBA,PG,82,1,1732,253,555,.456,1,15,.067,252,540,.467,.457,167,233,.717,58,156,214,258,55,5,137,137,674
2010-11,24,CLE,NBA,PG,81,38,2133,362,776,.466,3,15,.200,359,761,.472,.468,348,423,.823,46,209,255,419,60,8,178,93,1075
2011-12,25,TOT,NBA,PG,64,23,1707,242,565,.428,43,97,.443,199,468,.425,.466,194,248,.782,33,181,214,354,44,3,141,100,721
2011-12,25,CLE,NBA,PG,41,4,1006,141,354,.398,26,62,.419,115,292,.394,.435,122,147,.830,19,108,127,212,27,1,82,63,430
2011-12,25,LAL,NBA,PG,23,19,701,101,211,.479,17,35,.486,84,176,.477,.519,72,101,.713,14,73,87,142,17,2,59,37,291
2012-13,26,CHA,NBA,SG,61,0,1652,276,676,.408,33,107,.308,243,569,.427,.433,291,347,.839,27,142,169,230,48,7,104,91,876
2013-14,27,TOT,NBA,PG,83,19,2214,330,769,.429,35,124,.282,295,645,.457,.452,326,404,.807,38,165,203,340,49,9,148,90,1021
2013-14,27,CHA,NBA,PG,55,7,1305,190,465,.409,15,68,.221,175,397,.441,.425,183,234,.782,22,95,117,206,33,6,93,50,578
2013-14,27,MIL,NBA,PG,28,12,909,140,304,.461,20,56,.357,120,248,.484,.493,143,170,.841,16,70,86,134,16,3,55,40,443
2014-15,28,SAC,NBA,PG,21,3,365,39,115,.339,5,17,.294,34,98,.347,.361,45,61,.738,6,29,35,52,11,0,31,24,128
Career,,,NBA,,488,130,12426,1898,4348,.437,129,416,.310,1769,3932,.450,.451,1684,2111,.798,280,1137,1417,2232,367,42,927,719,5609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,124,58,3532,536,1196,.448,29,97,.299,507,1099,.461,.460,456,565,.807,88,325,413,713,116,13,243,224,1557
2 seasons,,CLE,NBA,,122,42,3139,503,1130,.445,29,77,.377,474,1053,.450,.458,470,570,.825,65,317,382,631,87,9,260,156,1505
2 seasons,,CHA,NBA,,116,7,2957,466,1141,.408,48,175,.274,418,966,.433,.429,474,581,.816,49,237,286,436,81,13,197,141,1454
1 season,,MIN,NBA,,82,1,1732,253,555,.456,1,15,.067,252,540,.467,.457,167,233,.717,58,156,214,258,55,5,137,137,674
1 season,,LAL,NBA,,23,19,701,101,211,.479,17,35,.486,84,176,.477,.519,72,101,.713,14,73,87,142,17,2,59,37,291
1 season,,SAC,NBA,,21,3,365,39,115,.339,5,17,.294,34,98,.347,.361,45,61,.738,6,29,35,52,11,0,31,24,128
