
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,CLE,NBA,SG,20,0,115,15,39,.385,6,22,.273,9,17,.529,.462,4,6,.667,8,9,17,5,6,3,5,9,40
2010-11,23,SAS,NBA,SG,8,0,92,17,35,.486,7,19,.368,10,16,.625,.586,0,0,,3,12,15,2,2,1,5,7,41
2011-12,24,SAS,NBA,SG,66,38,1522,211,477,.442,102,234,.436,109,243,.449,.549,79,100,.790,54,174,228,86,58,46,67,107,603
2012-13,25,SAS,NBA,SG,80,80,2201,297,663,.448,177,413,.429,120,250,.480,.581,67,79,.848,36,208,244,141,92,54,94,124,838
2013-14,26,SAS,NBA,SG,68,59,1651,218,505,.432,132,318,.415,86,187,.460,.562,50,63,.794,25,204,229,104,65,61,76,107,618
2014-15,27,SAS,NBA,SG,22,21,644,91,197,.462,49,122,.402,42,75,.560,.586,24,25,.960,13,76,89,38,28,27,26,46,255
Career,,,NBA,,264,198,6225,849,1916,.443,473,1128,.419,376,788,.477,.567,224,273,.821,139,683,822,376,251,192,273,400,2395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,244,198,6110,834,1877,.444,467,1106,.422,367,771,.476,.569,220,267,.824,131,674,805,371,245,189,268,391,2355
1 season,,CLE,NBA,,20,0,115,15,39,.385,6,22,.273,9,17,.529,.462,4,6,.667,8,9,17,5,6,3,5,9,40
