
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,HOU,NBA,PF,40,0,535,59,105,.562,0,1,.000,59,104,.567,.562,29,45,.644,67,112,179,14,26,14,12,76,147
2006-07,23,HOU,NBA,PF,78,43,1714,192,335,.573,0,0,,192,335,.573,.573,55,89,.618,204,317,521,47,70,18,64,281,439
2007-08,24,HOU,NBA,PF,79,44,1575,113,221,.511,0,3,.000,113,218,.518,.511,11,24,.458,132,295,427,91,85,43,62,212,237
2008-09,25,HOU,NBA,C,71,1,858,42,113,.372,0,4,.000,42,109,.385,.372,7,19,.368,74,176,250,42,34,19,25,134,91
2009-10,26,HOU,NBA,C,82,82,1773,161,329,.489,0,0,,161,329,.489,.489,36,66,.545,151,314,465,139,73,43,74,219,358
2010-11,27,HOU,NBA,C,74,63,2079,244,463,.527,0,2,.000,244,461,.529,.527,94,142,.662,219,380,599,202,79,49,86,200,582
2011-12,28,SAC,NBA,C,54,9,1039,73,170,.429,0,2,.000,73,168,.435,.429,26,39,.667,72,162,234,77,36,17,50,111,172
2012-13,29,SAC,NBA,C,74,1,1209,84,190,.442,0,1,.000,84,189,.444,.442,30,48,.625,113,186,299,112,31,18,44,114,198
2013-14,30,TOT,NBA,C,61,1,754,56,130,.431,0,1,.000,56,129,.434,.431,20,25,.800,69,141,210,35,34,12,33,95,132
2013-14,30,SAC,NBA,C,16,1,179,14,32,.438,0,0,,14,32,.438,.438,5,7,.714,20,27,47,6,11,2,7,18,33
2013-14,30,TOR,NBA,C,45,0,575,42,98,.429,0,1,.000,42,97,.433,.429,15,18,.833,49,114,163,29,23,10,26,77,99
2014-15,31,TOR,NBA,C,12,0,122,8,20,.400,0,0,,8,20,.400,.400,2,6,.333,8,18,26,12,6,1,6,19,18
Career,,,NBA,,625,244,11658,1032,2076,.497,0,14,.000,1032,2062,.500,.497,310,503,.616,1109,2101,3210,771,474,234,456,1461,2374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,HOU,NBA,,424,233,8534,811,1566,.518,0,10,.000,811,1556,.521,.518,232,385,.603,847,1594,2441,535,367,186,323,1122,1854
3 seasons,,SAC,NBA,,144,11,2427,171,392,.436,0,3,.000,171,389,.440,.436,61,94,.649,205,375,580,195,78,37,101,243,403
2 seasons,,TOR,NBA,,57,0,697,50,118,.424,0,1,.000,50,117,.427,.424,17,24,.708,57,132,189,41,29,11,32,96,117
