Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,19,TOT,NBA,PF,78,27,1535,215,416,0.517,0,0,,215,416,0.517,0.517,103,173,0.595,171,241,412,39,29,68,77,246,533
2010-11,19,NJN,NBA,PF,56,23,1091,141,276,0.511,0,0,,141,276,0.511,0.511,71,116,0.612,126,171,297,21,18,41,56,183,353
2010-11,19,UTA,NBA,PF,22,4,444,74,140,0.529,0,0,,74,140,0.529,0.529,32,57,0.561,45,70,115,18,11,27,21,63,180
2011-12,20,UTA,NBA,PF,65,9,1376,222,445,0.499,0,0,,222,445,0.499,0.499,126,194,0.649,158,267,425,43,38,65,103,145,570
2012-13,21,UTA,NBA,PF,77,8,1787,274,568,0.482,0,5,0,274,563,0.487,0.482,179,260,0.688,184,362,546,75,67,130,129,247,727
2013-14,22,UTA,NBA,PF,73,73,2201,390,747,0.522,0,1,0,390,746,0.523,0.522,190,284,0.669,199,438,637,91,75,108,129,236,970
2014-15,23,UTA,NBA,PF,21,21,656,144,255,0.565,0,0,,144,255,0.565,0.565,52,78,0.667,63,116,179,32,13,32,30,63,340
Career,,,NBA,,314,138,7555,1245,2431,0.512,0,6,0,1245,2425,0.513,0.512,650,989,0.657,775,1424,2199,280,222,403,468,937,3140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,UTA,NBA,,258,115,6464,1104,2155,0.512,0,6,0,1104,2149,0.514,0.512,579,873,0.663,649,1253,1902,259,204,362,412,754,2787
1 season,,NJN,NBA,,56,23,1091,141,276,0.511,0,0,,141,276,0.511,0.511,71,116,0.612,126,171,297,21,18,41,56,183,353
