Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,HOU,NBA,SF,35,1,191,18,50,0.36,13,39,0.333,5,11,0.455,0.49,2,2,1,4,22,26,6,5,0,4,21,51
2007-08,24,HOU,NBA,SF,35,0,264,49,102,0.48,34,71,0.479,15,31,0.484,0.647,3,4,0.75,4,31,35,6,2,3,4,17,135
2008-09,25,LAC,NBA,PF,71,3,1161,176,396,0.444,119,286,0.416,57,110,0.518,0.595,21,23,0.913,19,106,125,40,20,5,23,71,492
2009-10,26,LAC,NBA,SF,54,0,362,42,108,0.389,22,71,0.31,20,37,0.541,0.491,7,9,0.778,1,32,33,6,7,2,2,21,113
2010-11,27,TOT,NBA,SF,30,0,215,35,67,0.522,26,46,0.565,9,21,0.429,0.716,8,8,1,4,24,28,3,1,5,4,14,104
2010-11,27,DAL,NBA,SF,7,0,18,4,8,0.5,3,4,0.75,1,4,0.25,0.688,0,0,,0,5,5,0,0,0,0,3,11
2010-11,27,SAS,NBA,SF,23,0,197,31,59,0.525,23,42,0.548,8,17,0.471,0.72,8,8,1,4,19,23,3,1,5,4,11,93
2011-12,28,NYK,NBA,PF,54,0,1020,161,337,0.478,133,282,0.472,28,55,0.509,0.675,22,26,0.846,9,95,104,12,16,9,21,59,477
2012-13,29,NYK,NBA,SF,81,1,1641,178,430,0.414,149,351,0.425,29,79,0.367,0.587,30,33,0.909,17,135,152,35,28,8,12,97,535
2013-14,30,TOR,NBA,PF,54,1,540,60,146,0.411,52,122,0.426,8,24,0.333,0.589,6,6,1,8,50,58,13,12,4,5,44,178
2014-15,31,UTA,NBA,SF,12,0,54,8,17,0.471,8,16,0.5,0,1,0,0.706,0,2,0,0,9,9,2,0,1,2,8,24
Career,,,NBA,,426,6,5448,727,1653,0.44,556,1284,0.433,171,369,0.463,0.608,99,113,0.876,66,504,570,123,91,37,77,352,2109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NYK,NBA,,135,1,2661,339,767,0.442,282,633,0.445,57,134,0.425,0.626,52,59,0.881,26,230,256,47,44,17,33,156,1012
2 seasons,,LAC,NBA,,125,3,1523,218,504,0.433,141,357,0.395,77,147,0.524,0.572,28,32,0.875,20,138,158,46,27,7,25,92,605
2 seasons,,HOU,NBA,,70,1,455,67,152,0.441,47,110,0.427,20,42,0.476,0.595,5,6,0.833,8,53,61,12,7,3,8,38,186
1 season,,TOR,NBA,,54,1,540,60,146,0.411,52,122,0.426,8,24,0.333,0.589,6,6,1,8,50,58,13,12,4,5,44,178
1 season,,SAS,NBA,,23,0,197,31,59,0.525,23,42,0.548,8,17,0.471,0.72,8,8,1,4,19,23,3,1,5,4,11,93
1 season,,UTA,NBA,,12,0,54,8,17,0.471,8,16,0.5,0,1,0,0.706,0,2,0,0,9,9,2,0,1,2,8,24
1 season,,DAL,NBA,,7,0,18,4,8,0.5,3,4,0.75,1,4,0.25,0.688,0,0,,0,5,5,0,0,0,0,3,11
