
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,SAS,NBA,PF,82,23,1494,275,495,.556,0,2,.000,275,493,.558,.556,88,161,.547,200,326,526,65,50,39,112,224,638
2010-11,21,SAS,NBA,PF,81,65,1734,292,583,.501,0,2,.000,292,581,.503,.501,90,137,.657,215,350,565,77,95,42,113,213,674
2011-12,22,SAS,NBA,PF,64,62,1363,269,504,.534,0,1,.000,269,503,.535,.534,73,119,.613,154,197,351,78,59,12,92,168,611
2012-13,23,SAS,NBA,PF,61,16,851,142,271,.524,0,1,.000,142,270,.526,.524,44,70,.629,66,164,230,45,37,10,49,112,328
2013-14,24,DAL,NBA,PF,78,13,1214,210,393,.534,0,2,.000,210,391,.537,.534,77,121,.636,139,229,368,70,60,21,77,192,497
2014-15,25,WAS,NBA,PF,6,0,34,3,7,.429,0,0,,3,7,.429,.429,0,0,,1,4,5,1,1,0,2,9,6
Career,,,NBA,,372,179,6690,1191,2253,.529,0,8,.000,1191,2245,.531,.529,372,608,.612,775,1270,2045,336,302,124,445,918,2754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAS,NBA,,288,166,5442,978,1853,.528,0,6,.000,978,1847,.530,.528,295,487,.606,635,1037,1672,265,241,103,366,717,2251
1 season,,DAL,NBA,,78,13,1214,210,393,.534,0,2,.000,210,391,.537,.534,77,121,.636,139,229,368,70,60,21,77,192,497
1 season,,WAS,NBA,,6,0,34,3,7,.429,0,0,,3,7,.429,.429,0,0,,1,4,5,1,1,0,2,9,6
