
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,26,BOS,NBA,C,55,3,766,66,121,.545,0,0,,66,121,.545,.545,29,41,.707,48,129,177,28,37,85,33,144,161
2012-13,27,MIN,NBA,C,76,19,1209,127,278,.457,0,0,,127,278,.457,.457,53,69,.768,61,200,261,30,44,90,59,184,307
2013-14,28,NOP,NBA,C,55,20,1007,70,122,.574,0,1,.000,70,121,.579,.574,19,32,.594,72,154,226,36,35,57,44,169,159
2014-15,29,TOR,NBA,C,6,0,41,5,6,.833,0,0,,5,6,.833,.833,2,2,1.000,7,2,9,2,1,0,3,13,12
Career,,,NBA,,192,42,3023,268,527,.509,0,1,.000,268,526,.510,.509,103,144,.715,188,485,673,96,117,232,139,510,639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,MIN,NBA,,76,19,1209,127,278,.457,0,0,,127,278,.457,.457,53,69,.768,61,200,261,30,44,90,59,184,307
1 season,,BOS,NBA,,55,3,766,66,121,.545,0,0,,66,121,.545,.545,29,41,.707,48,129,177,28,37,85,33,144,161
1 season,,NOP,NBA,,55,20,1007,70,122,.574,0,1,.000,70,121,.579,.574,19,32,.594,72,154,226,36,35,57,44,169,159
1 season,,TOR,NBA,,6,0,41,5,6,.833,0,0,,5,6,.833,.833,2,2,1.000,7,2,9,2,1,0,3,13,12
