
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,MEM,NBA,SG,70,1,860,95,233,.408,25,86,.291,70,147,.476,.461,34,44,.773,12,61,73,151,22,4,70,83,249
2011-12,25,NOH,NBA,SG,66,26,1706,225,523,.430,43,135,.319,182,388,.469,.471,96,117,.821,23,150,173,359,60,8,148,126,589
2012-13,26,NOH,NBA,PG,78,78,2685,438,1012,.433,83,243,.342,355,769,.462,.474,124,154,.805,43,294,337,704,66,6,247,190,1083
2013-14,27,TOT,NBA,SG-PG,79,23,1779,277,658,.421,109,289,.377,168,369,.455,.504,95,108,.880,20,153,173,323,31,5,128,143,758
2013-14,27,SAC,NBA,PG,18,18,465,65,150,.433,16,50,.320,49,100,.490,.487,30,32,.938,5,29,34,95,6,1,27,38,176
2013-14,27,TOR,NBA,SG,61,5,1314,212,508,.417,93,239,.389,119,269,.442,.509,65,76,.855,15,124,139,228,25,4,101,105,582
2014-15,28,TOR,NBA,PG,21,5,456,77,196,.393,25,79,.316,52,117,.444,.457,21,27,.778,4,48,52,68,15,3,25,41,200
Career,,,NBA,,314,133,7486,1112,2622,.424,285,832,.343,827,1790,.462,.478,370,450,.822,102,706,808,1605,194,26,618,583,2879
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,NOH,NBA,,144,104,4391,663,1535,.432,126,378,.333,537,1157,.464,.473,220,271,.812,66,444,510,1063,126,14,395,316,1672
2 seasons,,TOR,NBA,,82,10,1770,289,704,.411,118,318,.371,171,386,.443,.494,86,103,.835,19,172,191,296,40,7,126,146,782
1 season,,MEM,NBA,,70,1,860,95,233,.408,25,86,.291,70,147,.476,.461,34,44,.773,12,61,73,151,22,4,70,83,249
1 season,,SAC,NBA,,18,18,465,65,150,.433,16,50,.320,49,100,.490,.487,30,32,.938,5,29,34,95,6,1,27,38,176
